"id","fk_author","fk_article"
"1810","697","740"
"1811","698","740"
"1812","767","741"
"1813","768","741"
"1814","769","741"
"1815","770","741"
"1816","495","742"
"1817","765","742"
"1818","694","743"
"1819","380","743"
"1820","766","744"
"1821","710","744"
"1822","340","745"
"1823","341","745"
"1824","491","746"
"1825","601","746"
"1826","385","747"
"1827","378","747"
"1828","771","748"
"1829","772","748"
"1830","586","749"
"1831","773","749"
"1832","368","750"
"1833","384","750"
"1834","774","751"
"1835","380","751"
"1836","775","752"
"1837","776","753"
"1838","777","753"
"1839","493","754"
"1840","398","754"
"1841","778","755"
"1842","716","755"
"1843","779","757"
"1844","780","757"
"1845","335","758"
"1846","506","758"
"1847","781","759"
"1848","380","759"
"1849","385","760"
"1850","340","763"
"1851","341","763"
"1852","783","769"
"1932","340","806"
"1854","785","771"
"1855","784","772"
"1856","736","772"
"1857","586","773"
"1858","762","773"
"1859","687","774"
"1860","686","774"
"1861","697","775"
"1862","698","775"
"1863","366","776"
"1864","359","776"
"1865","380","776"
"1866","725","777"
"1867","665","777"
"1868","303","778"
"1869","565","778"
"1870","370","778"
"1871","786","779"
"1872","789","780"
"1873","790","780"
"1874","787","781"
"1875","788","781"
"1876","629","782"
"1877","759","782"
"1878","385","783"
"1879","378","783"
"1880","580","784"
"1881","378","784"
"1882","379","785"
"1883","509","785"
"1884","380","785"
"1885","303","786"
"1886","598","786"
"1887","725","787"
"1888","665","787"
"1889","719","788"
"1890","720","788"
"1891","629","789"
"1892","759","789"
"1893","385","790"
"1894","378","790"
"1895","791","791"
"1896","792","791"
"1897","793","791"
"1898","794","791"
"1899","795","791"
"1900","796","791"
"1901","586","792"
"1902","585","792"
"1903","715","793"
"1904","716","793"
"1905","778","794"
"1906","716","794"
"1907","658","795"
"1908","660","795"
"1909","797","796"
"1910","798","796"
"1911","799","796"
"1912","366","797"
"1913","380","797"
"1914","800","798"
"1915","801","799"
"1916","366","800"
"1917","380","800"
"1918","385","801"
"1919","378","801"
"1920","802","802"
"1921","803","802"
"1922","804","803"
"1923","806","803"
"1924","805","803"
"1925","586","803"
"1926","807","803"
"1927","366","804"
"1928","359","804"
"1929","380","804"
"1930","539","805"
"1931","735","805"
"1933","506","807"
"1934","601","807"
"1935","429","808"
"1936","718","808"
"1937","551","809"
"1938","809","809"
"1939","687","810"
"1940","686","810"
"1941","410","811"
"1942","810","811"
"1943","808","811"
"1944","380","811"
"1945","638","812"
"1946","587","812"
"1947","340","813"
"1948","811","814"
"1949","340","815"
"1950","341","815"
"1951","812","816"
"1952","813","816"
"1953","816","816"
"1954","760","817"
"1955","761","817"
"1956","814","818"
"1957","815","818"
"1958","771","819"
"1959","772","819"
"1960","385","820"
"1961","378","820"
"1962","539","821"
"1963","380","821"
"1964","817","823"
"1965","493","824"
"1966","398","824"
"1967","340","825"
"1968","818","826"
"1969","580","827"
"1970","378","827"
"1971","565","828"
"1972","370","828"
"1973","580","829"
"1974","340","831"
"1975","828","833"
"1976","823","833"
"1977","586","834"
"1978","829","834"
"1979","819","835"
"1980","824","835"
"1981","820","836"
"1982","825","836"
"1983","821","837"
"1984","826","837"
"1985","303","838"
"1986","588","838"
"1987","822","839"
"1988","827","839"
"1989","830","840"
"1990","831","841"
"1991","509","842"
"1992","379","842"
"1993","380","842"
"1994","832","843"
"1995","833","843"
"1996","586","843"
"1997","829","843"
"1998","722","844"
"1999","723","844"
"2000","834","844"
"2001","303","845"
"2002","588","845"
"2003","422","846"
"2004","836","848"
"2005","837","849"
"2006","491","850"
"2007","601","850"
"2008","715","851"
"2009","716","851"
"2010","838","852"
"2011","839","852"
"2012","840","852"
"2013","760","853"
"2014","761","853"
"2015","303","854"
"2016","385","855"
"2017","340","856"
"2018","366","857"
"2019","380","857"
"2020","841","858"
"2021","762","858"
"2022","843","859"
"2023","380","859"
"2024","844","861"
"2025","586","862"
"2026","829","862"
"2027","845","863"
"2028","380","863"
"2029","618","864"
"2030","829","864"
"2031","846","864"
"2032","847","864"
"2033","848","865"
"2034","849","865"
"2035","850","866"
"2036","851","866"
"2037","359","867"
"2038","380","867"
"2039","844","869"
"2040","379","870"
"2041","380","870"
"2042","565","871"
"2043","380","871"
"2044","771","871"
"2045","772","871"
"2046","738","871"
"2047","492","872"
"2048","398","872"
"2049","340","873"
"2050","366","874"
"2051","380","874"
"2052","852","877"
"2053","506","878"
"2054","335","878"
"2055","586","879"
"2056","829","879"
"2057","687","880"
"2058","686","880"
"2059","340","881"
"2060","750","882"
"2061","842","882"
"2062","487","883"
